Country of Origin may be different at time of shipment.
"The HTSUS and ECCN information shown is for informational purposes only and is not a representation or warranty as to the accuracy or reliability of these classifications. All information is provided ""as is"" and is subject to change without notice. Any use made of the information provided is without recourse to Digi-Key and at the user's risk."
Index,Manufacturer Part Number,Manufacturer Name,Description,Lead Time,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Requested Quantity 2,Pack Quantity 2,Pack Type 2,Digi-Key Part Number 2,Unit Price 2,Extended Price 2,Minimum Order Quantity 2,Requested Quantity 3,Pack Quantity 3,Pack Type 3,Digi-Key Part Number 3,Unit Price 3,Extended Price 3,Minimum Order Quantity 3,Requested Quantity 4,Pack Quantity 4,Pack Type 4,Digi-Key Part Number 4,Unit Price 4,Extended Price 4,Minimum Order Quantity 4,Requested Quantity 5,Pack Quantity 5,Pack Type 5,Digi-Key Part Number 5,Unit Price 5,Extended Price 5,Minimum Order Quantity 5,Requested Quantity 6,Pack Quantity 6,Pack Type 6,Digi-Key Part Number 6,Unit Price 6,Extended Price 6,Minimum Order Quantity 6,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Reference Designator,US Import Tariff,Note,Part Status,RoHS Status,REACH Status,Moisture Sensitivity Level (MSL),ECCN,HTSUS,Country of Origin,Environmental Information,Original Part numbers,Unit of Measure,Image,Product Notes
1,LD2981CU50TR,STMicroelectronics,IC REG LINEAR 5V 100MA SOT89-3,,"13,112",In Stock,,1,1,Cut Tape (CT),497-3484-1-ND,0.75000,$0.75,1,1,1,Cut Tape (CT),497-3484-1-ND,0.75000,$0.75,1,1,1,Cut Tape (CT),497-3484-1-ND,0.75000,$0.75,1,1,1,Cut Tape (CT),497-3484-1-ND,0.75000,$0.75,1,53,53,Cut Tape (CT),497-3484-1-ND,0.47680,$25.27,1,,,,,,,,,497-3484-1-ND,10,https://www.st.com/content/ccc/resource/technical/document/datasheet/group1/b7/b5/a1/83/9c/bd/4a/90/CD00001635/files/CD00001635.pdf/jcr:content/translations/en.CD00001635.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0090,China,,497-3484-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2478/497-SOT-89%20SERIES.JPG,
2,MCP9701AT-E/TT,Microchip Technology,SENSOR ANALOG -10C-125C SOT23-3,,"15,675",In Stock,,1,1,Cut Tape (CT),MCP9701AT-E/TTCT-ND,0.48000,$0.48,1,1,1,Cut Tape (CT),MCP9701AT-E/TTCT-ND,0.48000,$0.48,1,1,1,Cut Tape (CT),MCP9701AT-E/TTCT-ND,0.48000,$0.48,1,1,1,Cut Tape (CT),MCP9701AT-E/TTCT-ND,0.48000,$0.48,1,52,52,Cut Tape (CT),MCP9701AT-E/TTCT-ND,0.40000,$20.80,1,,,,,,,,,MCP9701AT-E/TTCT-ND,8,https://ww1.microchip.com/downloads/aemDocuments/documents/MSLD/ProductDocuments/DataSheets/MCP970X-Family-Data-Sheet-DS20001942.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0090,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,MCP9701AT-E/TTCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/226/105/150%7EC04-104%7ECB%2CNB%2CTT%7E3_web%28640x640%29.jpg,
3,HV-5RGB60,Inolux,LED RGB DIFFUSED 5MM T/H,,"9,274",In Stock,,6,6,Bag,1830-1014-ND,1.06000,$6.36,1,2,2,Bag,1830-1014-ND,1.06000,$2.12,1,2,2,Bag,1830-1014-ND,1.06000,$2.12,1,1,1,Bag,1830-1014-ND,1.06000,$1.06,1,5,5,Bag,1830-1014-ND,1.06000,$5.30,1,,,,,,,,,1830-1014-ND,8,https://www.inolux-corp.com/datasheet/Inolux%20Lamp/TH%20Lamp/HV-5RGBXX%205mm%20Full-Color%20Series.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8541.41.0000,China,,1830-1014-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/59/HV-5RGB60.JPG,
4,MC34063ADR,Texas Instruments,IC REG BUCK BOOST ADJ 1.5A 8SOIC,,"91,380",In Stock,,10,10,Cut Tape (CT),296-17765-1-ND,0.51200,$5.12,1,1,1,Cut Tape (CT),296-17765-1-ND,0.72000,$0.72,1,35,35,Cut Tape (CT),296-17765-1-ND,0.45960,$16.09,1,,,,,,,,,,,,,,,,,,,,,,,296-17765-1-ND,12,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fmc33063a,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0070,United States,,296-17765-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/6222/296%7E4040047-3%7ED%7E8.jpg,
5,SZBZX84C5V1LT3G,onsemi,DIODE ZENER 5.1V 250MW SOT23-3,,"16,864",In Stock,,20,20,Cut Tape (CT),SZBZX84C5V1LT3GOSCT-ND,0.09700,$1.94,1,11,11,Cut Tape (CT),SZBZX84C5V1LT3GOSCT-ND,0.09700,$1.07,1,4,4,Cut Tape (CT),SZBZX84C5V1LT3GOSCT-ND,0.15000,$0.60,1,1,1,Cut Tape (CT),SZBZX84C5V1LT3GOSCT-ND,0.15000,$0.15,1,28,28,Cut Tape (CT),SZBZX84C5V1LT3GOSCT-ND,0.09700,$2.72,1,,,,,,,,,SZBZX84C5V1LT3GOSCT-ND,41,https://www.onsemi.com/pdf/datasheet/bzx84c2v4lt1-d.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8541.10.0050,China,https://www.onsemi.com/site/pdf/RoHS-statement.pdf|https://www.onsemi.com/site/pdf/REACH-compliance-statement.pdf|https://www.onsemi.com/PowerSolutions/MaterialComposition.do?export=pdf&opnId=SZBZX84C5V1LT3G,SZBZX84C5V1LT3GOSCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5883/488%7E318-08%7EET%2CL%2CLT%2CSF%2CSN%7E3.jpg,
6,RL0805FR-070R33L,YAGEO,RES 0.33 OHM 1% 1/8W 0805,,"11,285",In Stock,,25,25,Cut Tape (CT),311-.33SCT-ND,0.09080,$2.27,1,1,1,Cut Tape (CT),311-.33SCT-ND,0.21000,$0.21,1,1,1,Cut Tape (CT),311-.33SCT-ND,0.21000,$0.21,1,1,1,Cut Tape (CT),311-.33SCT-ND,0.21000,$0.21,1,20,20,Cut Tape (CT),311-.33SCT-ND,0.10200,$2.04,1,,,,,,,,,311-.33SCT-ND,20,https://yageogroup.com/content/Resource%20Library/Datasheet/PYU-RL_GROUP_521_ROHS_L.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8533.21.0030,Taiwan,,311-.33SCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/13_0805-%282012-metric%29.jpg,
7,C0805C471K5RACTU,KEMET,CAP CER 470PF 50V X7R 0805,,"80,340",In Stock,,28,28,Cut Tape (CT),399-C0805C471K5RACTUCT-ND,0.05000,$1.40,1,1,1,Cut Tape (CT),399-C0805C471K5RACTUCT-ND,0.10000,$0.10,1,1,1,Cut Tape (CT),399-C0805C471K5RACTUCT-ND,0.10000,$0.10,1,1,1,Cut Tape (CT),399-C0805C471K5RACTUCT-ND,0.10000,$0.10,1,53,53,Cut Tape (CT),399-C0805C471K5RACTUCT-ND,0.03420,$1.81,1,,,,,,,,,399-1142-1-ND,12,https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8532.24.0020,Mexico,,399-1142-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4322/cut-tape-render.jpg,
8,SRR1210-221M,Bourns Inc.,FIXED IND 220UH 1.7A 315 MOHM,,"3,183",In Stock,,29,29,Cut Tape (CT),SRR1210-221MCT-ND,0.98800,$28.65,1,1,1,Cut Tape (CT),SRR1210-221MCT-ND,1.20000,$1.20,1,1,1,Cut Tape (CT),SRR1210-221MCT-ND,1.20000,$1.20,1,1,1,Cut Tape (CT),SRR1210-221MCT-ND,1.20000,$1.20,1,40,40,Cut Tape (CT),SRR1210-221MCT-ND,0.98800,$39.52,1,,,,,,,,,SRR1210-221MCT-ND,29,https://www.bourns.com/docs/Product-Datasheets/SRR1210.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8504.50.8000,China,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6657/Bourns%20REACH%20247%20Jan%202025%20Statement.pdf|https://www.bourns.com/docs/rohs-content/bourns-reach-letter.pdf|https://www.bourns.com/docs/rohs-cofc/cofc_srr.pdf?sfvrsn=7557d913_18,SRR1210-221MCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/645/SRR1210-330M.jpg,
9,0ZCJ0075AF2E,Bel Fuse Inc.,PTC RESET FUSE 16V 750MA 1206,,"111,849",In Stock,,30,30,Cut Tape (CT),5923-0ZCJ0075AF2ECT-ND,0.22200,$6.66,1,707,707,Cut Tape (CT),5923-0ZCJ0075AF2ECT-ND,0.14086,$99.59,1,1,1,Cut Tape (CT),5923-0ZCJ0075AF2ECT-ND,0.29000,$0.29,1,1,1,Cut Tape (CT),5923-0ZCJ0075AF2ECT-ND,0.29000,$0.29,1,1,1,Cut Tape (CT),5923-0ZCJ0075AF2ECT-ND,0.29000,$0.29,1,20,20,Cut Tape (CT),5923-0ZCJ0075AF2ECT-ND,0.22200,$4.44,1,,507-1805-1-ND,9,https://belfuse.com/media/datasheets/products/circuit-protection/ds-cp-0zcj-series.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,2A  (4 Weeks),EAR99,8533.40.8070,Taiwan,https://www.belfuse.com/resources/quality-center/quality-documents|https://www.belfuse.com/media/documents/quality/bel-fuse/REACH-Statement.pdf,507-1805-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/540/0ZCK-Series-1206.jpg,
10,SUM70090E-GE3,Vishay Siliconix,MOSFET N-CH 100V 50A TO263,,938,In Stock,,31,31,Cut Tape (CT),SUM70090E-GE3CT-ND,1.53400,$47.55,1,2,2,Cut Tape (CT),SUM70090E-GE3CT-ND,2.39000,$4.78,1,2,2,Cut Tape (CT),SUM70090E-GE3CT-ND,2.39000,$4.78,1,1,1,Cut Tape (CT),SUM70090E-GE3CT-ND,2.39000,$2.39,1,99,99,Cut Tape (CT),SUM70090E-GE3CT-ND,1.53400,$151.87,1,,,,,,,,,SUM70090E-GE3CT-ND,47,https://www.vishay.com/docs/64432/sum70090e.pdf,,	-,,Active,ROHS3 Compliant,,1  (Unlimited),EAR99,8541.29.0055,Taiwan,,SUM70090E-GE3CT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/212/992/742%7E5843%7EN%2CP%7E2_web%28640x640%29.jpg,
11,SQM50P08-25L_GE3,Vishay Siliconix,MOSFET P-CHANNEL 80V 50A TO263,,"7,858",In Stock,,32,32,Cut Tape (CT),SQM50P08-25L_GE3CT-ND,2.16400,$69.25,1,2,2,Cut Tape (CT),SQM50P08-25L_GE3CT-ND,3.32000,$6.64,1,2,2,Cut Tape (CT),SQM50P08-25L_GE3CT-ND,3.32000,$6.64,1,1,1,Cut Tape (CT),SQM50P08-25L_GE3CT-ND,3.32000,$3.32,1,99,99,Cut Tape (CT),SQM50P08-25L_GE3CT-ND,2.16400,$214.24,1,,,,,,,,,SQM50P08-25L_GE3CT-ND,19,https://www.vishay.com/docs/67064/sqm50p08.pdf,,	-,,Active,ROHS3 Compliant,,1  (Unlimited),EAR99,8541.29.0055,Taiwan,,SQM50P08-25L_GE3CT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/212/992/742%7E5843%7EN%2CP%7E2_web%28640x640%29.jpg,
12,LD2981CU33TR,STMicroelectronics,IC REG LINEAR 3.3V 100MA SOT89-3,,"2,730",In Stock,,4,4,Cut Tape (CT),497-3483-1-ND,0.63000,$2.52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497-3483-1-ND,10,https://www.st.com/content/ccc/resource/technical/document/datasheet/group1/b7/b5/a1/83/9c/bd/4a/90/CD00001635/files/CD00001635.pdf/jcr:content/translations/en.CD00001635.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0090,Singapore,,497-3483-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2478/497-SOT-89%20SERIES.JPG,
13,PIC32MX570F512L-I/PT,Microchip Technology,IC MCU 32BIT 512KB FLASH 100TQFP,,237,In Stock,,1,1,Tray,PIC32MX570F512L-I/PT-ND,7.94000,$7.94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIC32MX570F512L-I/PT-ND,4,https://ww1.microchip.com/downloads/en/DeviceDoc/PIC32MX1XX2XX5XX%2064100-PIN_Family_60001290F.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),3A991A2,8542.31.0025,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,PIC32MX570F512L-I/PT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/5443/150%7EC04-100%7EPT%7E100.JPG,
14,MCP3428-E/SL,Microchip Technology,IC ADC 16BIT SIGMA-DELTA 14SOIC,,"2,633",In Stock,,1,1,Tube,MCP3428-E/SL-ND,4.63000,$4.63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCP3428-E/SL-ND,4,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/22226a.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8542.39.0030,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,MCP3428-E/SL-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/4283/150%7EC04-065%7EOD%2C-SL%7E14.jpg,
15,ESP32-WROOM-32E-N4,Espressif Systems,RF TXRX MOD BT WIFI TH SMD,,"28,851",In Stock,,1,1,Cut Tape (CT),1965-ESP32-WROOM-32E-N4CT-ND,4.84000,$4.84,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965-ESP32-WROOM-32E-N4CT-ND,8,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),5A992C,8517.62.0090,China,,1965-ESP32-WROOM-32E-N4CT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/488/MFG_ESP32-WROOM-32E.jpg,
16,SS8050-G,Comchip Technology,TRANS NPN 25V 1.5A SOT-23-3,,"65,993",In Stock,,2,2,Cut Tape (CT),641-1790-1-ND,0.24000,$0.48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641-1790-1-ND,10,https://www.comchiptech.com/admin/files/product/SS8050-G RevA181526.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,1  (Unlimited),EAR99,8541.21.0075,Taiwan,https://www.comchiptech.com/admin/files/tech/213_20201006093628.pdf,641-1790-1-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/213/100/641%7ESOT23-3%7E%7E3_web%28640x640%29.jpg,
17,MCP2562T-E/SN,Microchip Technology,IC TRANSCEIVER HALF 1/1 8SOIC,,"2,870",In Stock,,1,1,Cut Tape (CT),MCP2562T-E/SNCT-ND,1.21000,$1.21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCP2562T-E/SNCT-ND,8,https://ww1.microchip.com/downloads/en/DeviceDoc/20005167C.pdf,,	-,,Active,ROHS3 Compliant,REACH Unaffected,3  (168 Hours),EAR99,8542.39.0090,Thailand,https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Semiconductor_EnvCoC.pdf|https://ww1.microchip.com/downloads/aemDocuments/documents/corporate-responsibilty/environmental/product-regulatory-information/Microchip_REACH_Statement.pdf,MCP2562T-E/SNCT-ND,EACH,https://mm.digikey.com/Volume0/opasdata/d220001/derivates/6/003/245/611/MFG_150%7EC04-057%7ESN%2COA%7E8_web%28640x640%29.jpg,
